Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance,time_diff
33.0,4.8,Sunny,High,1,Buffet,motorcycle,1.0,No,Metropolitian,19,6.107424091719353,
29.0,5.0,Fog,Low,2,Drinks,electric_scooter,1.0,No,Urban,17,3.02065083853194,
26.0,4.9,Sandstorms,Low,1,Snack,scooter,0.0,No,Urban,17,10.550213546103945,15.0
34.0,4.7,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,19,10.859713679362844,10.0
20.0,4.6,Fog,Medium,0,Drinks,motorcycle,1.0,No,Urban,29,6.1093995971008495,10.0
37.0,4.8,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,28,9.307969804594673,15.0
21.0,4.7,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,12,2.976159387614025,5.0
39.0,4.9,Sunny,Jam,2,Buffet,scooter,0.0,No,Metropolitian,23,13.661188213250071,5.0
39.0,4.4,Sandstorms,Jam,1,Drinks,scooter,0.0,No,Metropolitian,35,13.659702783482011,5.0
38.0,4.9,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,27,10.846831683111873,
28.0,4.6,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,17,2.9810670001645097,10.0
32.0,4.4,Windy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,37,19.85360391181812,5.0
39.0,4.7,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,42,12.234095574157154,
36.0,4.1,Fog,Medium,1,Drinks,scooter,2.0,No,Metropolitian,41,13.868094237210705,10.0
34.0,5.0,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,4.654234974134328,10.0
36.0,4.9,Windy,Low,2,Meal,scooter,0.0,No,Metropolitian,26,3.058774301696735,15.0
39.0,4.2,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,33,2.980835294216818,5.0
27.0,4.6,Windy,Medium,2,Buffet,motorcycle,0.0,No,Metropolitian,25,4.707104052532131,
23.0,4.6,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,29,7.669130657924546,10.0
26.0,4.8,Sunny,Low,1,Snack,scooter,1.0,No,Metropolitian,23,1.5513638984572686,10.0
31.0,3.7,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,34,10.40516557964519,10.0
36.0,4.7,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,27,4.588679297487378,10.0
23.0,4.7,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,20,7.551455556046012,5.0
34.0,4.2,Sandstorms,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,48,13.943139482101842,15.0
31.0,4.8,Sunny,Medium,1,Drinks,motorcycle,1.0,No,,21,20.16674507207519,5.0
29.0,4.9,Stormy,High,2,Meal,scooter,1.0,No,Metropolitian,21,3.0145607836709103,15.0
30.0,4.5,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,29,10.69511863363468,
22.0,4.1,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,44,10.69511863363468,15.0
28.0,4.6,Sandstorms,Low,2,Buffet,scooter,1.0,No,Metropolitian,12,9.17715767117648,10.0
39.0,4.8,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,26,3.1098107554073655,
28.0,4.7,Sandstorms,Jam,1,Meal,scooter,0.0,No,Metropolitian,25,4994.499230068575,10.0
35.0,4.6,Cloudy,Low,2,Buffet,scooter,1.0,No,Urban,29,13.591519386308438,
26.0,4.6,Fog,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,37,20.033609467303062,5.0
23.0,4.3,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,35,12.39516797402465,10.0
28.0,4.7,Sunny,High,1,Snack,motorcycle,1.0,No,Urban,10,3.059379238509978,5.0
28.0,4.3,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,34,9.07450346176405,15.0
36.0,5.0,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,44,10.69023490025587,15.0
,,Fog,Low,2,Meal,scooter,1.0,No,Metropolitian,37,3870.3049893031284,
34.0,4.8,Sandstorms,High,2,Meal,scooter,1.0,No,Metropolitian,30,6.108962178720502,10.0
22.0,4.8,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,16,1.4639291722377832,5.0
39.0,4.1,Stormy,Low,0,Snack,motorcycle,2.0,No,Metropolitian,33,3.035910946212622,5.0
32.0,4.5,Sunny,Low,1,Buffet,motorcycle,0.0,No,,15,20.82761679765568,
25.0,4.8,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,17,4.707104052532131,15.0
26.0,4.6,Cloudy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,32,10.5500260879149,10.0
25.0,4.5,Sunny,Low,0,Buffet,motorcycle,0.0,,Metropolitian,10,3.0990232373642685,15.0
23.0,4.8,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,15,1.5514112649058258,5.0
26.0,5.0,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,26,7.670103460594373,5.0
28.0,4.9,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Urban,24,9.296566687565383,5.0
24.0,4.5,Stormy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,23,6.197250523008698,5.0
,,,,3,Drinks,scooter,1.0,No,Metropolitian,29,4.464417671579878,
23.0,5.0,Sunny,Low,1,Buffet,scooter,0.0,No,Urban,17,1.5103593182783828,5.0
31.0,4.6,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,51,10.47279774286206,5.0
33.0,4.8,Fog,Low,1,Buffet,motorcycle,1.0,No,Urban,19,9.074436846460618,15.0
28.0,4.6,Windy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,15,9.414207472710384,5.0
,,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,33,2.9777179937144274,
35.0,4.3,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,33,5.961831579993184,15.0
23.0,4.9,Stormy,Low,2,Snack,scooter,0.0,No,Metropolitian,16,9.107880591147302,5.0
25.0,4.5,Sandstorms,Jam,1,Drinks,scooter,0.0,No,Metropolitian,29,9.329363924112965,15.0
35.0,4.0,Windy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,38,6.045365665314742,10.0
35.0,4.2,Sandstorms,High,2,Snack,electric_scooter,1.0,No,Metropolitian,33,1.5276791467890163,10.0
36.0,4.5,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,29,7.747100285797026,5.0
31.0,4.7,Sandstorms,Medium,1,Buffet,scooter,1.0,No,Metropolitian,23,19.6372574662733,15.0
23.0,4.9,Fog,Medium,1,Buffet,scooter,1.0,No,Metropolitian,30,16.823444551962364,
34.0,4.6,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43,12.08140588913986,10.0
34.0,4.6,Cloudy,Low,1,Meal,motorcycle,1.0,No,Urban,19,7.589467220002331,
27.0,4.7,Sunny,Low,0,Snack,motorcycle,0.0,No,Metropolitian,13,4.521740183910015,15.0
34.0,4.8,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,24,20.033928802649147,5.0
33.0,4.8,Sunny,Low,2,Snack,electric_scooter,0.0,No,Urban,16,1.5104773183413343,15.0
24.0,4.6,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,16,4.647649006310348,10.0
38.0,4.9,Stormy,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,21,4.671944272517227,
24.0,4.6,Fog,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,16,3.109874895861278,10.0
36.0,4.2,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Urban,32,4.588766117367849,10.0
35.0,4.5,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,26,3.0591830211678976,15.0
26.0,4.7,Sandstorms,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,24,13.942401801169584,5.0
30.0,4.6,Windy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,45,9.329217115744333,15.0
36.0,3.9,Cloudy,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,35,16.6946756040029,15.0
37.0,4.6,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,17,1.5180978782571646,
22.0,4.7,Cloudy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,36,20.804194557193107,5.0
27.0,5.0,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,16,7.845173108613386,15.0
29.0,4.8,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,41,11.90287349299374,10.0
32.0,4.9,Fog,Jam,0,Drinks,motorcycle,0.0,Yes,Metropolitian,51,10.844889295136394,10.0
36.0,4.8,Cloudy,Medium,2,Snack,scooter,0.0,No,Metropolitian,17,4.707104052532131,
24.0,4.5,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,22,4.471543104156893,10.0
29.0,4.5,Stormy,Jam,2,Meal,scooter,1.0,No,Metropolitian,20,9.296672611790163,
,,,,3,Snack,motorcycle,,No,Metropolitian,42,17.06510060953055,
30.0,4.7,Windy,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,31,9.32903485721948,10.0
29.0,4.6,Sandstorms,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,19,12.216836816928133,15.0
34.0,4.7,Stormy,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,39,10.24658623120476,15.0
24.0,3.7,Sunny,High,0,Snack,motorcycle,1.0,Yes,Metropolitian,46,6.040974316966906,5.0
21.0,4.8,Stormy,Low,2,Snack,scooter,0.0,No,Urban,14,13.962104738453403,
36.0,4.8,Cloudy,Medium,1,Snack,scooter,0.0,No,Metropolitian,42,16.823894329937325,10.0
39.0,4.8,Windy,High,2,Drinks,scooter,2.0,No,Metropolitian,33,1.5495023088967608,15.0
26.0,4.9,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,11,3.0990100939449827,15.0
,,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,25,14.016072134644038,
33.0,4.9,Windy,Medium,0,Meal,motorcycle,1.0,No,Urban,26,6.198357357933919,
29.0,4.7,Cloudy,Jam,0,Drinks,motorcycle,1.0,Yes,Metropolitian,41,10.41513064614557,15.0
38.0,5.0,Cloudy,Medium,2,Snack,scooter,2.0,No,Metropolitian,36,12.235374461806085,10.0
21.0,4.9,Sunny,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,19,12.081089159931416,5.0
37.0,4.5,Fog,Low,2,Buffet,scooter,1.0,No,Metropolitian,17,4.664788911693181,5.0
21.0,4.9,Fog,High,0,Drinks,motorcycle,,No,Metropolitian,20,1.529404811880711,10.0
22.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,42,13.961547929942947,5.0
26.0,4.8,Sunny,Jam,1,Snack,scooter,0.0,No,Urban,19,19.446922355228416,5.0
,,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,18,9.160955267795332,
37.0,4.7,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,30,17.03947169055914,15.0
34.0,4.6,Windy,High,1,Snack,scooter,1.0,No,Urban,34,6.205452157234621,5.0
23.0,4.4,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Urban,36,7.634172816143166,5.0
33.0,4.2,Stormy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,35,13.744202599729608,10.0
24.0,4.7,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,15,12.082515888989535,
30.0,3.8,Windy,Jam,1,Meal,scooter,1.0,No,Metropolitian,31,10.57148959092966,10.0
27.0,4.7,Sandstorms,Jam,2,Buffet,scooter,1.0,No,Urban,26,4.521867847821588,15.0
22.0,4.9,Sunny,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,26,16.793902842922613,
36.0,5.0,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Urban,29,12.214161102936735,15.0
35.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,42,4.602309648628082,15.0
37.0,4.7,Cloudy,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,39,16.365355795019745,10.0
33.0,4.6,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,27,6.164140154175385,15.0
29.0,4.6,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,21,19.939345878302394,5.0
23.0,5.0,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,20,6.276138627413788,15.0
30.0,4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,13.563859616323219,
31.0,4.8,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,7.6190071741468754,5.0
33.0,4.6,Fog,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,28,6.20544343389936,
29.0,4.8,Stormy,Jam,2,Buffet,scooter,0.0,No,Urban,25,12.236050766443851,5.0
37.0,4.5,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,29,1.5513637566677205,5.0
36.0,4.6,Fog,Low,0,Snack,motorcycle,0.0,No,,21,9.30751635429083,10.0
28.0,5.0,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,36,12.142076903171413,
24.0,4.6,Windy,Low,1,Meal,scooter,0.0,No,Urban,10,17.25937671693666,5.0
29.0,4.5,Sunny,High,1,Buffet,motorcycle,0.0,No,Urban,11,1.51085666633745,10.0
25.0,4.9,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,26,19.371378390857927,5.0
32.0,3.8,Stormy,Jam,1,Meal,scooter,1.0,Yes,Metropolitian,43,19.65934405227445,15.0
20.0,4.5,Stormy,Low,1,Snack,motorcycle,0.0,No,Urban,10,3.1380694073889375,5.0
27.0,4.7,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,43,14.121309628180253,5.0
24.0,3.2,Sunny,Low,2,Snack,scooter,1.0,No,Urban,36,10.69314243912885,10.0
32.0,4.7,Windy,Low,2,Snack,electric_scooter,1.0,No,Urban,25,1.529404811880711,15.0
21.0,5.0,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,15,4.602219720227634,15.0
30.0,4.2,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,33,2.975545947584032,10.0
26.0,4.5,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,24,19.73031348513336,5.0
20.0,4.7,Sunny,Low,2,Meal,scooter,0.0,No,Metropolitian,19,3.054566519402013,10.0
22.0,4.9,Fog,Low,1,Meal,motorcycle,1.0,No,,26,20.141175515390838,15.0
32.0,4.5,Windy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,26,7.536019458519231,5.0
27.0,4.0,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Urban,20,9.176622359415976,15.0
25.0,4.3,Windy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,34,16.872188672183736,15.0
34.0,4.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Urban,39,13.562011132719297,5.0
20.0,5.0,Sandstorms,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,28,13.713516119745258,15.0
35.0,4.2,Stormy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,32,6.219677761888663,
32.0,4.8,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,12.056316928798037,10.0
31.0,4.8,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,20,9.042544208951528,5.0
27.0,5.0,Windy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,18,20.212199139843758,5.0
29.0,4.5,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,21,1.5690347154047222,10.0
22.0,4.8,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,19,14.121309628180253,10.0
34.0,4.7,Sunny,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,15,10.738078032534391,15.0
31.0,4.8,Sunny,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,16,4.589078879821043,10.0
21.0,4.8,Windy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,23,13.944427583887085,15.0
,,Fog,Low,2,Snack,motorcycle,1.0,No,Metropolitian,19,9.043032648409891,
24.0,4.5,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,32,12.085461869670294,10.0
25.0,4.9,Sandstorms,High,1,Buffet,scooter,1.0,No,Metropolitian,25,1.4881912567305338,15.0
32.0,4.9,Fog,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,30,20.942318650656375,15.0
33.0,4.8,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,43,13.563916062056796,10.0
37.0,4.7,Sandstorms,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,21,1.5277193778494655,15.0
39.0,4.1,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,31,6.197029528170028,5.0
25.0,4.4,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,19,1.5574626103222946,
34.0,4.3,Stormy,Jam,0,Buffet,motorcycle,0.0,No,Urban,49,12.394039281844009,15.0
25.0,5.0,Sandstorms,Medium,2,Meal,scooter,1.0,No,Metropolitian,22,6.135893319343082,5.0
28.0,4.5,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,14,7.551948584727068,10.0
37.0,4.2,Windy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,45,13.59160829724938,15.0
29.0,4.6,Sandstorms,High,0,Buffet,motorcycle,1.0,No,Urban,38,1.5497167302535413,10.0
37.0,4.8,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,28,4.4596906182454905,5.0
38.0,4.6,Stormy,Low,1,Meal,motorcycle,,No,Metropolitian,16,19.729348027031104,
32.0,4.5,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,27,4.6541316710672564,
28.0,4.7,Fog,High,2,Snack,motorcycle,1.0,No,Metropolitian,30,6.197821963200788,10.0
30.0,4.2,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,43,7.747336178631792,15.0
22.0,4.9,Cloudy,Jam,0,Snack,motorcycle,2.0,No,Semi-Urban,46,16.611554699066566,5.0
39.0,4.5,Sunny,High,0,Buffet,motorcycle,1.0,No,Metropolitian,23,6.136161459878657,15.0
38.0,4.6,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,33,16.805680518031792,5.0
22.0,4.9,Sunny,Low,1,Meal,motorcycle,1.0,No,Metropolitian,19,3.102925877447916,
25.0,4.7,Sunny,Jam,1,Meal,scooter,0.0,No,Metropolitian,19,16.611603446539622,5.0
27.0,4.7,Sunny,High,2,Drinks,scooter,1.0,No,Metropolitian,18,6.1977399151548,
24.0,4.7,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Urban,22,8.927409587684332,5.0
23.0,4.6,Sandstorms,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,16,1.5341125401528894,10.0
28.0,4.9,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,13,1.5124934070328935,10.0
20.0,4.9,Sandstorms,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,27,16.614314977476777,10.0
31.0,4.9,Cloudy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,27,4.587554339065332,
32.0,4.9,Windy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,27,7.432481602773922,5.0
28.0,5.0,Fog,Medium,2,Meal,scooter,0.0,No,Metropolitian,30,10.573443732569277,15.0
27.0,5.0,Sunny,Low,1,Buffet,motorcycle,0.0,No,Urban,29,16.7937620741546,15.0
26.0,5.0,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,23,12.272430559996877,
33.0,4.7,Fog,Medium,2,Meal,scooter,0.0,No,Urban,15,6.095339444652212,15.0
32.0,4.7,Stormy,Jam,2,Buffet,electric_scooter,1.0,No,Urban,29,10.983241696284242,10.0
28.0,5.0,Fog,Low,0,Buffet,motorcycle,1.0,No,Urban,22,20.24335402965451,10.0
37.0,4.7,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,25,17.130179517921356,15.0
,,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,32,19.5870739690788,
28.0,4.8,Windy,Low,2,Drinks,electric_scooter,0.0,,Metropolitian,10,9.163843230911345,10.0
22.0,4.5,Fog,Jam,1,Meal,scooter,0.0,No,Urban,24,9.308042124629791,5.0
,,Sunny,Jam,2,Snack,scooter,0.0,No,Urban,13,4.588712137571156,
27.0,4.9,Sunny,Low,1,Buffet,scooter,1.0,No,Metropolitian,17,3.099008540165536,
35.0,4.0,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,34,16.694580779303383,15.0
36.0,4.7,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,17,7.845173108613386,
20.0,4.8,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Urban,17,3.1029169967959707,5.0
34.0,4.7,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,34,14.121309628180253,
31.0,4.6,Cloudy,Medium,2,Drinks,scooter,0.0,No,Metropolitian,16,9.203840392783624,10.0
33.0,4.5,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Metropolitian,22,7.747301749382051,
30.0,4.8,Cloudy,Medium,0,Snack,motorcycle,2.0,No,Urban,46,16.82470009074351,5.0
,,,,3,Drinks,scooter,0.0,No,Metropolitian,24,9.297855593284817,
30.0,4.6,Windy,Jam,0,Snack,motorcycle,1.0,No,Urban,39,4.5310302052611195,10.0
21.0,4.7,Windy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,13,9.32995691639106,15.0
28.0,4.9,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,26,13.601517126643698,15.0
30.0,4.6,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,22,7.747166374211772,5.0
31.0,4.6,Sunny,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,27,11.902746728492442,5.0
34.0,4.5,Windy,Low,1,Meal,scooter,1.0,No,Metropolitian,22,1.554902837646469,15.0
21.0,4.8,Stormy,Low,1,Snack,scooter,0.0,No,Urban,12,1.5269203557838738,
30.0,3.9,Stormy,Jam,2,Buffet,scooter,0.0,No,Metropolitian,35,20.21236407309343,5.0
37.0,4.5,Sunny,High,2,Meal,motorcycle,1.0,No,Metropolitian,23,6.1978304625342036,5.0
27.0,4.8,Sunny,Jam,1,Meal,scooter,1.0,No,Urban,20,17.04288365208502,5.0
31.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,0.0,No,Metropolitian,21,16.872188672183736,
35.0,4.8,Windy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,27,4.554150979429106,5.0
20.0,4.7,Windy,Low,2,Buffet,electric_scooter,1.0,No,Urban,14,10.548588900483892,15.0
37.0,4.5,Sunny,Jam,2,Snack,electric_scooter,1.0,No,Urban,20,9.414207472710384,15.0
30.0,4.6,Fog,Medium,2,Snack,scooter,1.0,No,Metropolitian,18,7.556237134874611,15.0
33.0,4.9,Fog,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,33,9.043173745968499,
21.0,4.7,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,21,16.611017637184716,5.0
38.0,4.3,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,36,9.414207472710384,10.0
22.0,4.9,Sunny,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,13,13.76488736327854,5.0
31.0,5.0,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,38,11.902746728492442,15.0
33.0,5.0,Fog,Medium,1,Drinks,motorcycle,3.0,No,Metropolitian,42,12.410398980987173,
29.0,4.8,Cloudy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,43,12.234095574157154,15.0
25.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,25,4.654346370087346,15.0
31.0,4.8,Cloudy,Low,0,Buffet,motorcycle,1.0,No,,24,1.5115356891619631,5.0
24.0,4.7,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,18,3.054227396353469,
39.0,5.0,Fog,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,39,7.67018651199344,10.0
36.0,5.0,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,30,20.243125611344436,
32.0,3.8,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,38,16.695447096527786,15.0
34.0,4.5,Cloudy,Jam,0,Snack,motorcycle,2.0,Yes,Urban,44,12.552275755914396,5.0
,,,,3,Snack,motorcycle,0.0,No,Metropolitian,22,1.4880448867085374,
27.0,4.9,Sunny,High,1,Snack,motorcycle,1.0,No,Metropolitian,18,6.205285279769409,15.0
